Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Prefeitura de Magé,http://transparencia.mage.rj.gov.br/,Magé,Magé,RJ,Brasil,Brasil,,Municipal
Prefeitura de Mangaratiba,https://e-gov.betha.com.br/transparencia/01037-004/recursos.faces?mun=WppxBH47Kza1Cw1lEux3UylrmoIL_iuG,Mangaratiba,Mangaratiba,RJ,Brasil,Brasil,,Municipal
Prefeitura de Maricá,http://ecidadeonline.marica.rj.gov.br/e-cidade_transparencia_inte/,Maricá,Maricá,RJ,Brasil,Brasil,,Municipal
Prefeitura de Mendes,http://www.mendes.rj.gov.br/234,Mendes,Mendes,RJ,Brasil,Brasil,,Municipal
Prefeitura de Mesquita,http://transparencia.mesquita.rj.gov.br/,Mesquita,Mesquita,RJ,Brasil,Brasil,,Municipal
Prefeitura de Miguel Pereira,http://transparencia.pmmp.rj.gov.br/,Miguel Pereira,Miguel Pereira,RJ,Brasil,Brasil,,Municipal
Prefeitura de Miracema,http://miracema.rj.gov.br/transparencia/,Miracema,Miracema,RJ,Brasil,Brasil,,Municipal
Prefeitura de Natividade,http://179.109.158.34:8079/transparencia/,Natividade,Natividade,RJ,Brasil,Brasil,,Municipal
Prefeitura de Nilópolis,http://nilopolis.rj.gov.br/site/transparencia/,Nilópolis,Nilópolis,RJ,Brasil,Brasil,,Municipal
Prefeitura de Niterói,http://portais.niteroi.rj.gov.br/portal-da-transparencia/,Niterói,Niterói,RJ,Brasil,Brasil,,Municipal
Prefeitura de Nova Friburgo,http://transparencia.pmnf.rj.gov.br/,Nova Friburgo,Nova Friburgo,RJ,Brasil,Brasil,,Municipal
Prefeitura de Nova Iguaçu,http://dstec01.cloudapp.net/esiclivre/,Nova Iguaçu,Nova Iguaçu,RJ,Brasil,Brasil,,Municipal
Prefeitura de Paracambi,https://paracambi.ccanet.com.br/transparencia,Paracambi,Paracambi,RJ,Brasil,Brasil,,Municipal
Prefeitura de Paraíba do Sul,http://paraibadosul.rj.gov.br/transparencia,Paraíba do Sul,Paraíba do Sul,RJ,Brasil,Brasil,,Municipal
Prefeitura de Paraty,http://pmparaty.web2382.uni5.net/blogtransparencia/index.aspx,Paraty,Paraty,RJ,Brasil,Brasil,,Municipal
Prefeitura de Paty do Alferes,http://200.199.78.2/e-cidade_transparencia/,Paty do Alferes,Paty do Alferes,RJ,Brasil,Brasil,,Municipal
Prefeitura de Petrópolis,http://www.petropolis.rj.gov.br/pmp/index.php/transparencia-servico/home-transparencia.html,Petrópolis,Petrópolis,RJ,Brasil,Brasil,,Municipal
Prefeitura de Pinheiral,http://www.pinheiral.rj.gov.br/PortalTransparencia/,Pinheiral,Pinheiral,RJ,Brasil,Brasil,,Municipal
Prefeitura de Piraí,https://transparencia.pirai.rj.gov.br/,Piraí,Piraí,RJ,Brasil,Brasil,,Municipal
Prefeitura de Porciúncula,http://transparencia.porciuncula.rj.gov.br:8079/transparencia,Porciúncula,Porciúncula,RJ,Brasil,Brasil,,Municipal
Prefeitura de Porto Real,http://s2.asp.srv.br/etransparencia.pm.portoreal.rj/servlet/portal,Porto Real,Porto Real,RJ,Brasil,Brasil,,Municipal
Prefeitura de Quatis,transparencia.quatis.rj.gov.bcr,Quatis,Quatis,RJ,Brasil,Brasil,,Municipal
